NCES School ID,State School ID,NCES District ID,State District ID,School Name,District,County Name*,City,ZIP,Charter,Status
060429013779,CA-3366993-0129882,0604290,CA-3366993,21st Century Learning Institute,Beaumont Unified,Riverside County,Beaumont,92223,No,Open
062827013394,CA-5672520-0117671,0628270,CA-5672520,A Place to Grow,Ojai Unified,Ventura County,Ojai,93024,No,Open
061044001166,CA-3066480-6027767,0610440,CA-3066480,A. E. Arnold Elementary,Cypress Elementary,Orange County,Cypress,90630,No,Open
061488001834,CA-3066522-6028211,0614880,CA-3066522,A. G. Cook Elementary,Garden Grove Unified,Orange County,Garden Grove,92844,No,Open
063237004995,CA-3667850-6036669,0632370,CA-3667850,A. H. Morgan Elementary,Rialto Unified,San Bernardino County,Rialto,92376,No,Open
060231000103,CA-4369369-6046114,0602310,CA-4369369,A. J. Dorsa Elementary,Alum Rock Union Elementary,Santa Clara County,San Jose,95122,No,Open
061970010780,CA-1062265-0105692,0619700,CA-1062265,A. L. Conner Elementary,Kings Canyon Joint Unified,Fresno County,Orange Cove,93646,No,Open
062295007772,CA-1563594-6102792,0622950,CA-1563594,A. M. Thomas Middle,Lost Hills Union Elementary,Kern County,Lost Hills,93249,No,Open
063384005217,CA-3467439-6033765,0633840,CA-3467439,A. M. Winn Waldorf-Inspired,Sacramento City Unified,Sacramento County,Sacramento,95827,No,Open
063492005896,CA-4169039-6044796,0634920,CA-4169039,Abbott Middle,San Mateo-Foster City,San Mateo County,San Mateo,94403,No,Open
060002808271,CA-3375192-6116446,0600028,CA-3375192,Abby Reinke Elementary,Temecula Valley Unified,Riverside County,Temecula,92592,No,Open
060162010232,CA-1964212-1995596,0601620,CA-1964212,ABC Secondary (Alternative),ABC Unified,Los Angeles County,Cerritos,90703,No,Open
060162014664,CA-1964212-0141861,0601620,CA-1964212,ABC Virtual Academy,ABC Unified,Los Angeles County,Cerritos,90703,No,Open
060162813064,CA-0126755-0126755,0601628,CA-0126755,ABLE Charter,ABLE Charter District,San Joaquin County,Stockton,95207,Yes,Open
062985004650,CA-1964873-6021430,0629850,CA-1964873,Abraham Lincoln,Paramount Unified,Los Angeles County,Paramount,90723,No,Open
063762002045,CA-1563776-1530377,0637620,CA-1563776,Abraham Lincoln Alternative,Southern Kern Unified,Kern County,Rosamond,93560,No,Open
063315005148,CA-3367215-3336955,0633150,CA-3367215,Abraham Lincoln Continuation,Riverside Unified,Riverside County,Riverside,92507,No,Open
061524001937,CA-1964568-6013742,0615240,CA-1964568,Abraham Lincoln Elementary,Glendale Unified,Los Angeles County,La Crescenta,91214,No,Open
061111001230,CA-3367058-6031926,0611110,CA-3367058,Abraham Lincoln Elementary,Desert Sands Unified,Riverside County,Palm Desert,92260,No,Open
061029001139,CA-4369419-6046940,0610290,CA-4369419,Abraham Lincoln Elementary,Cupertino Union,Santa Clara County,Cupertino,95014,No,Open
060939000951,CA-3667686-6035646,0609390,CA-3667686,Abraham Lincoln Elementary,Colton Joint Unified,San Bernardino County,Colton,92324,No,Open
063581006125,CA-4970912-6052153,0635810,CA-4970912,Abraham Lincoln Elementary,Santa Rosa Elementary,Sonoma County,Santa Rosa,95401,No,Open
063384005218,CA-3467439-6099808,0633840,CA-3467439,Abraham Lincoln Elementary,Sacramento City Unified,Sacramento County,Sacramento,95827,No,Open
063531005993,CA-3066670-6030308,0635310,CA-3066670,Abraham Lincoln Elementary,Santa Ana Unified,Orange County,Santa Ana,92704,No,Open
062724000755,CA-3066597-6029219,0627240,CA-3066597,Abraham Lincoln Elementary,Newport-Mesa Unified,Orange County,Costa Mesa,92626,No,Open
063459005696,CA-4369666-4333795,0634590,CA-4369666,Abraham Lincoln High,San Jose Unified,Santa Clara County,Testville,98798,No,Open
060363007992,CA-1563321-6116719,0603630,CA-1563321,Abraham Lincoln Jr. High,Bakersfield City,Kern County,Bakersfield,93305,No,Open
063627001989,CA-1062430-6111124,0636270,CA-1062430,Abraham Lincoln Middle,Selma Unified,Fresno County,Selma,93662,No,Open
